Date : 2024-07-23 11:28:27
Directory : /Users/yuwenjun/git_repo/code-train
Total : 594 files,  349092 codes, 19756 comments, 40780 blanks, all 409628 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/ngram-cache.h                                                                  | C++              |         48 |         29 |         18 |         95 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/sampling.cpp                                                                   | C++              |        350 |         31 |         79 |        460 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/sampling.h                                                                     | C++              |         91 |         38 |         32 |        161 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/stb_image.h                                                                    | C++              |      6,268 |      1,283 |        846 |      8,397 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/train.cpp                                                                      | C++              |      1,306 |         48 |        160 |      1,514 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/train.h                                                                        | C++              |        181 |          2 |         51 |        234 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/convert-hf-to-gguf-update.py                                                          | Python           |        221 |         53 |         58 |        332 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/convert-hf-to-gguf.py                                                                 | Python           |      2,294 |        183 |        623 |      3,100 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/convert-llama-ggml-to-gguf.py                                                         | Python           |        401 |          6 |         39 |        446 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/docs/BLIS.md                                                                          | Markdown         |         45 |          0 |         23 |         68 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/docs/HOWTO-add-model.md                                                               | Markdown         |         85 |          0 |         35 |        120 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/docs/debugging-tests.md                                                               | Markdown         |         70 |          0 |         35 |        105 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/docs/token_generation_performance_tips.md                                             | Markdown         |         31 |          0 |         10 |         41 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/Miku.sh                                                                      | Shell Script     |         40 |          3 |          8 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/baby-llama/baby-llama.cpp                                                    | C++              |        948 |        406 |        287 |      1,641 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/base-translate.sh                                                            | Shell Script     |         31 |         13 |         18 |         62 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched-bench/README.md                                                      | Markdown         |         40 |          0 |         12 |         52 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched-bench/batched-bench.cpp                                              | C++              |        150 |          6 |         60 |        216 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched.swift/Makefile                                                       | Makefile         |          5 |          0 |          2 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched.swift/Package.swift                                                  | Swift            |         16 |          4 |          3 |         23 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched.swift/README.md                                                      | Markdown         |          3 |          0 |          2 |          5 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched.swift/Sources/main.swift                                             | Swift            |        190 |         17 |         55 |        262 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched/README.md                                                            | Markdown         |         27 |          0 |         18 |         45 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/batched/batched.cpp                                                          | C++              |        140 |         27 |         73 |        240 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/benchmark/benchmark-matmult.cpp                                              | C++              |        194 |         28 |         54 |        276 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/chat-13B.bat                                                                 | Batch            |         38 |         10 |         10 |         58 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/chat-13B.sh                                                                  | Shell Script     |         26 |          6 |         10 |         42 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/chat-persistent.sh                                                           | Shell Script     |        112 |          9 |         31 |        152 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/chat-vicuna.sh                                                               | Shell Script     |         26 |          6 |         10 |         42 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/chat.sh                                                                      | Shell Script     |          5 |          8 |          4 |         17 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/convert-legacy-llama.py                                                      | Python           |      1,055 |         91 |        271 |      1,417 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/convert-llama2c-to-ggml/README.md                                            | Markdown         |         18 |          0 |         11 |         29 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/convert-llama2c-to-ggml/convert-llama2c-to-ggml.cpp                          | C++              |        742 |         36 |        159 |        937 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/cvector-generator/README.md                                                  | Markdown         |         31 |          0 |         15 |         46 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/cvector-generator/cvector-generator.cpp                                      | C++              |        361 |         64 |         79 |        504 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/cvector-generator/mean.hpp                                                   | C++              |         38 |          3 |          8 |         49 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/cvector-generator/pca.hpp                                                    | C++              |        232 |         46 |         48 |        326 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/embedding/README.md                                                          | Markdown         |         45 |          0 |         17 |         62 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/embedding/embedding.cpp                                                      | C++              |        200 |         22 |         47 |        269 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/eval-callback/README.md                                                      | Markdown         |         90 |          0 |          6 |         96 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/eval-callback/eval-callback.cpp                                              | C++              |        142 |         19 |         33 |        194 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/export-lora/README.md                                                        | Markdown         |         20 |          0 |          7 |         27 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/export-lora/export-lora.cpp                                                  | C++              |        388 |         16 |         59 |        463 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/finetune/README.md                                                           | Markdown         |         70 |          0 |         21 |         91 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/finetune/convert-finetune-checkpoint-to-gguf.py                              | Python           |        412 |         12 |         64 |        488 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/finetune/finetune.cpp                                                        | C++              |      1,575 |         54 |        234 |      1,863 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/finetune/finetune.sh                                                         | Shell Script     |         27 |          2 |          6 |         35 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gbnf-validator/gbnf-validator.cpp                                            | C++              |        104 |          8 |         21 |        133 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gguf-split/README.md                                                         | Markdown         |          7 |          0 |          4 |         11 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gguf-split/gguf-split.cpp                                                    | C++              |        453 |         34 |         78 |        565 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gguf-split/tests.sh                                                          | Shell Script     |         50 |         20 |         20 |         90 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gguf/gguf.cpp                                                                | C++              |        183 |         11 |         63 |        257 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gritlm/README.md                                                             | Markdown         |         50 |          0 |         13 |         63 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/gritlm/gritlm.cpp                                                            | C++              |        143 |         20 |         57 |        220 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/imatrix/README.md                                                            | Markdown         |         26 |          0 |         10 |         36 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/imatrix/imatrix.cpp                                                          | C++              |        513 |         29 |        108 |        650 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/infill/README.md                                                             | Markdown         |         30 |          0 |         17 |         47 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/infill/infill.cpp                                                            | C++              |        497 |         42 |        122 |        661 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/jeopardy/README.md                                                           | Markdown         |         14 |          0 |          8 |         22 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/jeopardy/graph.py                                                            | Python           |         49 |          1 |          9 |         59 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/jeopardy/jeopardy.sh                                                         | Shell Script     |         22 |          3 |          6 |         31 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/json-schema-pydantic-example.py                                              | Python           |         58 |          8 |         14 |         80 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/json_schema_to_grammar.py                                                    | Python           |        693 |         10 |        107 |        810 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama-bench/README.md                                                        | Markdown         |        238 |          0 |         44 |        282 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama-bench/llama-bench.cpp                                                  | C++              |      1,301 |         16 |        124 |      1,441 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/README.md                                                      | Markdown         |          0 |          0 |          1 |          1 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/AndroidManifest.xml                               | XML              |         25 |          0 |          6 |         31 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/drawable/ic_launcher_background.xml           | XML              |        170 |          0 |          1 |        171 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/drawable/ic_launcher_foreground.xml           | XML              |         30 |          0 |          1 |         31 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/mipmap-anydpi/ic_launcher.xml                 | XML              |          6 |          0 |          1 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/mipmap-anydpi/ic_launcher_round.xml           | XML              |          6 |          0 |          1 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/values/colors.xml                             | XML              |         10 |          0 |          1 |         11 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/values/strings.xml                            | XML              |          3 |          0 |          1 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/values/themes.xml                             | XML              |          4 |          0 |          2 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/xml/backup_rules.xml                          | XML              |          3 |         10 |          1 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/app/src/main/res/xml/data_extraction_rules.xml                 | XML              |          5 |         14 |          1 |         20 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/gradle.properties                                              | Java Properties  |          4 |         19 |          1 |         24 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/gradle/wrapper/gradle-wrapper.properties                       | Java Properties  |          5 |          1 |          1 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/llama/src/main/AndroidManifest.xml                             | XML              |          3 |          0 |          2 |          5 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.android/llama/src/main/cpp/llama-android.cpp                           | C++              |        325 |         26 |         93 |        444 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/README.md                                                      | Markdown         |          7 |          0 |          6 |         13 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.cpp.swift/LibLlama.swift                                 | Swift            |        255 |          7 |         80 |        342 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/Assets.xcassets/AppIcon.appiconset/Contents.json | JSON             |         13 |          0 |          1 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/Assets.xcassets/Contents.json                    | JSON             |          6 |          0 |          1 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/Models/LlamaState.swift                          | Swift            |        160 |          3 |         34 |        197 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/UI/ContentView.swift                             | Swift            |        126 |          1 |         19 |        146 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/UI/DownloadButton.swift                          | Swift            |         99 |          8 |         18 |        125 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/UI/InputButton.swift                             | Swift            |        112 |          1 |         19 |        132 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/UI/LoadCustomButton.swift                        | Swift            |         39 |          0 |          6 |         45 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llama.swiftui/llama.swiftui/llama_swiftuiApp.swift                           | Swift            |          9 |          0 |          2 |         11 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/MobileVLM-README.md                                                    | Markdown         |        304 |          0 |         74 |        378 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/README.md                                                              | Markdown         |         94 |          0 |         46 |        140 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/android/adb_run.sh                                                     | Shell Script     |         36 |          8 |         10 |         54 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/android/build_64.sh                                                    | Shell Script     |          6 |          1 |          2 |          9 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/clip.cpp                                                               | C++              |      1,565 |        181 |        333 |      2,079 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/clip.h                                                                 | C++              |         58 |          3 |         25 |         86 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/convert-image-encoder-to-gguf.py                                       | Python           |        235 |         49 |         48 |        332 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/llava-cli.cpp                                                          | C++              |        273 |          7 |         61 |        341 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/llava-surgery-v2.py                                                    | Python           |        107 |         21 |         28 |        156 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/llava-surgery.py                                                       | Python           |         22 |          5 |         12 |         39 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/llava.cpp                                                              | C++              |        259 |         88 |         65 |        412 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/llava.h                                                                | C++              |         34 |          5 |         12 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/llava/requirements.txt                                                       | pip requirements |          3 |          0 |          1 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookahead/README.md                                                          | Markdown         |          4 |          0 |          4 |          8 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookahead/lookahead.cpp                                                      | C++              |        303 |         73 |        111 |        487 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookup/README.md                                                             | Markdown         |          7 |          0 |          7 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookup/lookup-create.cpp                                                     | C++              |         30 |          3 |         11 |         44 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookup/lookup-merge.cpp                                                      | C++              |         39 |          0 |          9 |         48 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookup/lookup-stats.cpp                                                      | C++              |        117 |          8 |         36 |        161 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/lookup/lookup.cpp                                                            | C++              |        175 |         17 |         67 |        259 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/main-cmake-pkg/README.md                                                     | Markdown         |         21 |          0 |         11 |         32 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/main/README.md                                                               | Markdown         |        183 |          0 |        134 |        317 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/main/main.cpp                                                                | C++              |        707 |         71 |        172 |        950 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/parallel/README.md                                                           | Markdown         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/parallel/parallel.cpp                                                        | C++              |        280 |         42 |        107 |        429 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/passkey/README.md                                                            | Markdown         |          8 |          0 |          5 |         13 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/passkey/passkey.cpp                                                          | C++              |        174 |         21 |         88 |        283 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/perplexity/README.md                                                         | Markdown         |        171 |          0 |         23 |        194 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/perplexity/perplexity.cpp                                                    | C++              |      1,576 |        145 |        343 |      2,064 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/pydantic-models-to-grammar-examples.py                                       | Python           |        140 |         35 |         50 |        225 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/pydantic_models_to_grammar.py                                                | Python           |      1,043 |         50 |        218 |      1,311 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/quantize-stats/quantize-stats.cpp                                            | C++              |        365 |         10 |         50 |        425 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/quantize/README.md                                                           | Markdown         |         39 |          0 |          8 |         47 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/quantize/quantize.cpp                                                        | C++              |        401 |         11 |         39 |        451 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/quantize/tests.sh                                                            | Shell Script     |         42 |          9 |         15 |         66 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/reason-act.sh                                                                | Shell Script     |         11 |          2 |          4 |         17 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/regex-to-grammar.py                                                          | Python           |         18 |          0 |          3 |         21 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/retrieval/README.md                                                          | Markdown         |         54 |          0 |         16 |         70 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/retrieval/retrieval.cpp                                                      | C++              |        218 |         34 |         48 |        300 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/rpc/README.md                                                                | Markdown         |         60 |          0 |         15 |         75 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/rpc/rpc-server.cpp                                                           | C++              |        124 |          1 |         10 |        135 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/save-load-state/save-load-state.cpp                                          | C++              |        174 |         19 |         55 |        248 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server-embd.py                                                               | Python           |         24 |          1 |         10 |         35 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server-llama2-13B.sh                                                         | Shell Script     |         11 |          7 |          9 |         27 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/README.md                                                             | Markdown         |        523 |          0 |        182 |        705 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/bench/README.md                                                       | Markdown         |         94 |          0 |         27 |        121 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/bench/bench.py                                                        | Python           |        257 |         11 |         42 |        310 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/bench/prometheus.yml                                                  | YAML             |          8 |          0 |          2 |         10 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/bench/requirements.txt                                                | pip requirements |          2 |          0 |          1 |          3 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/bench/script.js                                                       | JavaScript       |        111 |         12 |         28 |        151 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/chat-llama2.sh                                                        | Shell Script     |         83 |          5 |         22 |        110 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/chat.mjs                                                              | JavaScript       |        107 |          2 |         23 |        132 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/chat.sh                                                               | Shell Script     |         65 |          1 |         15 |         81 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/deps.sh                                                               | Shell Script     |          5 |          3 |          3 |         11 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/httplib.h                                                             | C++              |      7,638 |        326 |      1,502 |      9,466 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/colorthemes.css                                                | CSS              |        172 |        165 |         66 |        403 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/completion.js                                                  | JavaScript       |        133 |         49 |         23 |        205 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/index-new.html                                                 | HTML             |      1,037 |          5 |        137 |      1,179 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/index.html                                                     | HTML             |        986 |          0 |        160 |      1,146 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/index.js                                                       | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/json-schema-to-grammar.mjs                                     | JavaScript       |        742 |         10 |         84 |        836 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/prompt-formats.js                                              | JavaScript       |        201 |         23 |        108 |        332 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/style.css                                                      | CSS              |        777 |         61 |        117 |        955 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/system-prompts.js                                              | JavaScript       |         68 |          0 |          1 |         69 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-beeninorder.css                                          | CSS              |        142 |         19 |         68 |        229 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-ketivah.css                                              | CSS              |        141 |         18 |         43 |        202 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-mangotango.css                                           | CSS              |        131 |         19 |         67 |        217 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-playground.css                                           | CSS              |        139 |         19 |         64 |        222 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-polarnight.css                                           | CSS              |        166 |         19 |         69 |        254 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public/theme-snowstorm.css                                            | CSS              |        166 |         19 |         67 |        252 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/datautils.mjs                                       | JavaScript       |        152 |         99 |         16 |        267 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/index.html                                          | HTML             |         45 |          0 |          7 |         52 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/readme.md                                           | Markdown         |        198 |          0 |         89 |        287 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/simplechat.css                                      | CSS              |         62 |          4 |         14 |         80 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/simplechat.js                                       | JavaScript       |        638 |        186 |        103 |        927 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/public_simplechat/ui.mjs                                              | JavaScript       |        118 |         81 |         13 |        212 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/server.cpp                                                            | C++              |      2,610 |        212 |        583 |      3,405 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/tests/README.md                                                       | Markdown         |         45 |          0 |         21 |         66 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/tests/features/environment.py                                         | Python           |         59 |          0 |         13 |         72 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/tests/features/steps/steps.py                                         | Python           |      1,107 |         10 |        242 |      1,359 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/tests/requirements.txt                                                | pip requirements |          6 |          0 |          1 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/tests/tests.sh                                                        | Shell Script     |          7 |          2 |          3 |         12 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/themes/README.md                                                      | Markdown         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/themes/buttons-top/README.md                                          | Markdown         |          4 |          0 |          4 |          8 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/themes/buttons-top/index.html                                         | HTML             |        908 |          0 |        150 |      1,058 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/themes/wild/README.md                                                 | Markdown         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/themes/wild/index.html                                                | HTML             |        910 |          0 |        152 |      1,062 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/server/utils.hpp                                                             | C++              |        485 |         46 |        106 |        637 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/simple/README.md                                                             | Markdown         |         14 |          0 |          8 |         22 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/simple/simple.cpp                                                            | C++              |        101 |         18 |         57 |        176 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/speculative/README.md                                                        | Markdown         |          6 |          0 |          4 |         10 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/speculative/speculative.cpp                                                  | C++              |        433 |         49 |        134 |        616 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/README.md                                                               | Markdown         |         33 |          0 |         15 |         48 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/build.sh                                                                | Shell Script     |          5 |         11 |          8 |         24 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/ls-sycl-device.cpp                                                      | C++              |          5 |          5 |          4 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/run-llama2.sh                                                           | Shell Script     |         15 |         12 |         11 |         38 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/win-build-sycl.bat                                                      | Batch            |         14 |         10 |         11 |         35 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/sycl/win-run-llama2.bat                                                      | Batch            |          3 |          3 |          6 |         12 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/tokenize/tokenize.cpp                                                        | C++              |        282 |         60 |         51 |        393 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/train-text-from-scratch/README.md                                            | Markdown         |         21 |          0 |          7 |         28 |
